Date,Open,High,Low,Close*,Adj Close**,Volume
14-Oct-19,"2,965.81","2,972.84","2,962.94","2,966.15","2,966.15","2,557,020,000"
11-Oct-19,"2,963.07","2,993.28","2,963.07","2,970.27","2,970.27","3,580,460,000"
10-Oct-19,"2,918.55","2,948.46","2,917.12","2,938.13","2,938.13","3,217,250,000"
9-Oct-19,"2,911.10","2,929.32","2,907.41","2,919.40","2,919.40","2,726,820,000"
8-Oct-19,"2,920.40","2,925.47","2,892.66","2,893.06","2,893.06","3,356,450,000"
7-Oct-19,"2,944.23","2,959.75","2,935.68","2,938.79","2,938.79","2,940,140,000"
4-Oct-19,"2,918.56","2,953.74","2,918.56","2,952.01","2,952.01","2,990,830,000"
3-Oct-19,"2,885.38","2,911.13","2,855.94","2,910.63","2,910.63","3,503,640,000"
2-Oct-19,"2,924.78","2,924.78","2,874.93","2,887.61","2,887.61","3,912,520,000"
1-Oct-19,"2,983.69","2,992.53","2,938.70","2,940.25","2,940.25","3,558,040,000"
30-Sep-19,"2,967.07","2,983.85","2,967.07","2,976.74","2,976.74","3,247,610,000"
27-Sep-19,"2,985.47","2,987.31","2,945.53","2,961.79","2,961.79","3,243,650,000"
26-Sep-19,"2,985.73","2,987.28","2,963.71","2,977.62","2,977.62","3,077,240,000"
25-Sep-19,"2,968.35","2,989.82","2,952.86","2,984.87","2,984.87","3,318,870,000"
24-Sep-19,"3,002.43","3,007.98","2,957.73","2,966.60","2,966.60","3,868,160,000"
23-Sep-19,"2,983.50","2,999.15","2,982.23","2,991.78","2,991.78","3,186,590,000"
20-Sep-19,"3,008.42","3,016.37","2,984.68","2,992.07","2,992.07","6,094,740,000"
19-Sep-19,"3,010.36","3,021.99","3,003.16","3,006.79","3,006.79","3,251,290,000"
18-Sep-19,"3,001.50","3,007.83","2,978.57","3,006.73","3,006.73","3,435,540,000"
17-Sep-19,"2,995.67","3,006.21","2,993.73","3,005.70","3,005.70","3,671,840,000"
16-Sep-19,"2,996.41","3,002.19","2,990.67","2,997.96","2,997.96","4,274,640,000"
13-Sep-19,"3,012.21","3,017.33","3,002.90","3,007.39","3,007.39","3,520,060,000"
12-Sep-19,"3,009.08","3,020.74","3,000.92","3,009.57","3,009.57","3,791,860,000"
11-Sep-19,"2,981.41","3,000.93","2,975.31","3,000.93","3,000.93","3,927,550,000"
10-Sep-19,"2,971.01","2,979.39","2,957.01","2,979.39","2,979.39","4,390,770,000"
9-Sep-19,"2,988.43","2,989.43","2,969.39","2,978.43","2,978.43","4,002,890,000"
6-Sep-19,"2,980.33","2,985.03","2,972.51","2,978.71","2,978.71","3,208,280,000"
5-Sep-19,"2,960.60","2,985.86","2,960.60","2,976.00","2,976.00","3,890,700,000"
4-Sep-19,"2,924.67","2,938.84","2,921.86","2,937.78","2,937.78","3,163,260,000"
3-Sep-19,"2,909.01","2,914.39","2,891.85","2,906.27","2,906.27","3,426,790,000"
30-Aug-19,"2,937.09","2,940.43","2,913.32","2,926.46","2,926.46","3,008,450,000"
29-Aug-19,"2,910.37","2,930.50","2,905.67","2,924.58","2,924.58","3,176,190,000"
28-Aug-19,"2,861.28","2,890.03","2,853.05","2,887.94","2,887.94","3,097,420,000"
