Date,Open,High,Low,Close*,Adj Close**, Volume 
2018-10-03,26833.47,26951.81,26789.08,26828.39,26828.39,280130000
2018-10-02,26648.91,26824.78,26627.66,26773.94,26773.94,258290000
2018-10-01,26598.36,26737.98,26596.05,26651.21,26651.21,238320000
2018-09-28,26407.66,26515.76,26383.57,26458.31,26458.31,264030000
2018-09-27,26418.27,26557.01,26379.95,26439.93,26439.93,226350000
2018-09-26,26536.86,26606.09,26349.34,26385.28,26385.28,262620000
2018-09-25,26601.58,26634.85,26475.58,26492.21,26492.21,234110000
2018-09-24,26705.25,26709.94,26548.68,26562.05,26562.05,254850000
2018-09-21,26726.25,26769.16,26680.37,26743.50,26743.50,657620000
2018-09-20,26519.39,26697.49,26519.39,26656.98,26656.98,260480000
2018-09-19,26287.84,26464.41,26280.76,26405.76,26405.76,251330000
2018-09-18,26076.21,26317.34,26076.21,26246.96,26246.96,243000000
2018-09-17,26151.66,26184.47,26030.35,26062.12,26062.12,230230000
2018-09-14,26169.56,26211.11,26068.29,26154.67,26154.67,228640000
2018-09-13,26083.94,26191.64,26067.08,26145.99,26145.99,260800000
2018-09-12,25989.07,26145.72,25929.43,25998.92,25998.92,282770000
2018-09-11,25841.14,26019.92,25754.32,25971.06,25971.06,265960000
2018-09-10,25991.91,26039.96,25854.13,25857.07,25857.07,252170000
2018-09-07,25951.02,26002.99,25818.39,25916.54,25916.54,281350000
2018-09-06,25973.02,26073.68,25880.84,25995.87,25995.87,262380000
2018-09-05,25919.84,26011.22,25871.04,25974.99,25974.99,289210000
2018-09-04,25916.07,25971.77,25805.95,25952.48,25952.48,254600000
2018-08-31,25964.85,26028.83,25879.77,25964.82,25964.82,273440000
2018-08-30,26099.01,26104.37,25934.80,25986.92,25986.92,240440000
2018-08-29,26082.53,26167.94,26035.30,26124.57,26124.57,214960000
2018-08-28,26092.70,26122.24,26037.85,26064.02,26064.02,211470000
2018-08-27,25882.71,26067.57,25882.71,26049.64,26049.64,220510000
2018-08-24,25688.58,25826.05,25688.58,25790.35,25790.35,200330000
2018-08-23,25714.86,25762.56,25608.02,25656.98,25656.98,213270000
2018-08-22,25825.06,25836.16,25722.43,25733.60,25733.60,200480000
2018-08-21,25786.99,25888.82,25784.90,25822.29,25822.29,241620000
2018-08-20,25727.70,25790.17,25716.41,25758.69,25758.69,248570000
2018-08-17,25550.80,25728.16,25521.66,25669.32,25669.32,284160000
2018-08-16,25294.97,25607.34,25294.97,25558.73,25558.73,342430000
2018-08-15,25235.37,25235.37,24965.77,25162.41,25162.41,295810000
2018-08-14,25215.69,25339.51,25201.87,25299.92,25299.92,219210000
2018-08-13,25327.19,25381.39,25153.93,25187.70,25187.70,219990000
2018-08-10,25401.19,25401.19,25222.88,25313.14,25313.14,234480000
2018-08-09,25589.79,25613.31,25492.69,25509.23,25509.23,214970000
2018-08-08,25615.72,25634.11,25557.48,25583.75,25583.75,217770000
2018-08-07,25551.65,25692.72,25551.65,25628.91,25628.91,239910000
2018-08-06,25437.43,25540.02,25381.38,25502.18,25502.18,238990000
2018-08-03,25360.37,25467.90,25325.17,25462.58,25462.58,239020000
2018-08-02,25256.45,25360.48,25120.07,25326.16,25326.16,307700000
2018-08-01,25461.63,25488.80,25278.32,25333.82,25333.82,315880000
2018-07-31,25345.21,25490.98,25345.21,25415.19,25415.19,348700000
2018-07-30,25439.32,25500.16,25287.38,25306.83,25306.83,296880000
2018-07-27,25520.52,25580.22,25370.07,25451.06,25451.06,329680000
2018-07-26,25468.55,25587.24,25463.16,25527.07,25527.07,297530000
2018-07-25,25183.70,25432.87,25113.55,25414.10,25414.10,273670000
2018-07-24,25092.43,25286.62,25092.43,25241.94,25241.94,274940000
2018-07-23,25036.90,25081.45,24983.33,25044.29,25044.29,228820000
